review,class,text_for_models,text_for_stats,detected_aspects,aspects_parsed,aspect_sentiments,sentiments_parsed
"Goodbye Hotels!  After this cozy little place I'm a bed and breakfast faithful.  Our host, Craig, was wonderful.  It was super easy to make the arrangements and the website was helpful.  The place itself gave me the same joy I remember having when I would go see grandparents as a child.  That feeling of a warm house.  Oh, did I mention that when we first entered the whole house smelled of breakfast from that morning.  The bed half of the name was extra comfortable and the room was very relaxing.  We stayed in the Sorenson room, which was a little larger and had a couch.  They offered a small bookshelf of books and Madison magazine (which helped us to find our restaurant the next day).  The Sorenson room also offers a private bathroom with a claw-foot tub that is over 110 years old (but has excellent water pressure).  Shampoo, soap, body gel, bath salts (I think that's what they were), and even a hairdryer are all provided.  This was nice since we forgot a couple of those things.  For the breakfast portion, we had a spinach and cheddar quiche that was the fluffiest damn quiche I've ever had.  Pardon my French! My fiance is a Vegetarian and it was extremely easy to make.  He also had a myriad of drink options.  Some ready to be poured, some in waiting.  Also, for me (the non-vegetarian), he made an incredible side of bacon.  It was sprinkled with brown sugar and then generously peppered.  Then it was baked.  Then it was devoured with great speed.  Seriously, this was heavenly.  Also, there was a delicious pear and cranberry compote for each of us. Craig and his beautiful (and friendly) dog joined us for breakfast and some wonderful conversation.  He is a true gentleman and an excellent host.  My fiance and I are planning another trip in the spring and we'll be sure to stay with them again.  I could't recommend this place enough.
",1,"goodbye hotels! after this cozy little place i am a bed and breakfast faithful. our host, craig, was wonderful. it was super easy to make the arrangements and the website was helpful. the place itself gave me the same joy i remember having when i would go see grandparents as a child. that feeling of a warm house. oh, did i mention that when we first entered the whole house smelled of breakfast from that morning. the bed half of the name was extra comfortable and the room was very relaxing. we stayed in the sorenson room, which was a little larger and had a couch. they offered a small bookshelf of books and madison magazine (which helped us to find our restaurant the next day). the sorenson room also offers a private bathroom with a claw-foot tub that is over 110 years old (but has excellent water pressure). shampoo, soap, body gel, bath salts (i think that is what they were), and even a hairdryer are all provided. this was nice since we forgot a couple of those things. for the breakfast portion, we had a spinach and cheddar quiche that was the fluffiest damn quiche i have ever had. pardon my french! my fiance is a vegetarian and it was extremely easy to make. he also had a myriad of drink options. some ready to be poured, some in waiting. also, for me (the non-vegetarian), he made an incredible side of bacon. it was sprinkled with brown sugar and then generously peppered. then it was baked. then it was devoured with great speed. seriously, this was heavenly. also, there was a delicious pear and cranberry compote for each of us. craig and his beautiful (and friendly) dog joined us for breakfast and some wonderful conversation. he is a true gentleman and an excellent host. my fiance and i are planning another trip in the spring and we will be sure to stay with them again. i could't recommend this place enough.",goodbye hotel cozy little place bed breakfast faithful host craig wonderful super easy make arrangement website helpful place give joy remember would go see grandparent child feeling warm house oh mention first enter whole house smell breakfast morning bed half name extra comfortable room relax stay sorenson room little large couch offer small bookshelf book madison magazine help us find restaurant next day sorenson room also offer private bathroom claw foot tub 110 year old excellent water pressure shampoo soap body gel bath salt think even hairdryer provide nice since forget couple thing breakfast portion spinach cheddar quiche fluffy damn quiche ever pardon french fiance vegetarian extremely easy make also myriad drink option ready pour wait also non vegetarian make incredible side bacon sprinkle brown sugar generously pepper bake devour great speed seriously heavenly also delicious pear cranberry compote us craig beautiful friendly dog join us breakfast wonderful conversation true gentleman excellent host fiance plan another trip spring sure stay could recommend place enough,"{'content quality': 0.79, 'value for money': 0.777, 'functionality': 0.525}","{'content quality': 0.79, 'value for money': 0.777, 'functionality': 0.525}","{'content quality': 'POSITIVE', 'value for money': 'POSITIVE', 'functionality': 'POSITIVE'}","{'content quality': 'POSITIVE', 'value for money': 'POSITIVE', 'functionality': 'POSITIVE'}"
"OMG. One of THE WORST nail salons I have EVER been to. First off, I explained to my nail girl (forgot to get her name) twice what I wanted because she did not bring back the correct colors so she clearly did not understand. I got the response ""I know"" in an EXTREMELY rude tone. So I thought maybe she would get the other colors later. Nope. She started to paint all my nails the wrong color, so I stopped her and explained again. She did not apologize or anything. The ENTIRE time she was doing my nails she spoke to her co workers, all of whom were walking around the salon with no shoes on. Unprofessional Secondly, the customer service over all was horrible. No one was friendly AT ALL. Lastly, MY NAILS LOOK HORRIBLE!!! There is nail polish all over my cuticles and sides of nails. The polish is uneven, and the design, even after showing her three times, was STILL DONE WRONG. Not sure how to attach a photo over wise I would. I will never go back here, even with the great coupons I have. If I could give this place zero stars I would.
",0,"omg. one of the worst nail salons i have ever been to. first off, i explained to my nail girl (forgot to get her name) twice what i wanted because she did not bring back the correct colors so she clearly did not understand. i got the response ""i know"" in an extremely rude tone. so i thought maybe she would get the other colors later. nope. she started to paint all my nails the wrong color, so i stopped her and explained again. she did not apologize or anything. the entire time she was doing my nails she spoke to her co workers, all of whom were walking around the salon with no shoes on. unprofessional secondly, the customer service over all was horrible. no one was friendly at all. lastly, my nails look horrible!!! there is nail polish all over my cuticles and sides of nails. the polish is uneven, and the design, even after showing her three times, was still done wrong. not sure how to attach a photo over wise i would. i will never go back here, even with the great coupons i have. if i could give this place zero stars i would.",omg one bad nail salon ever first explain nail girl forget get name twice want bring back correct color clearly understand get response know extremely rude tone think maybe would get color later nope start paint nail wrong color stop explain apologize anything entire time nail speak co worker walk around salon shoe unprofessional secondly customer service horrible one friendly lastly nail look horrible nail polish cuticle side nail polish uneven design even show three time still wrong sure attach photo wise would never go back even great coupon could give place zero star would,{'design and aesthetics': 0.681},{'design and aesthetics': 0.681},{'design and aesthetics': 'NEGATIVE'},{'design and aesthetics': 'NEGATIVE'}
"I went there twice in a week with clients because of its location and the fact that I really like their salads, on both days I had to send my food back because there was a hair in it. First time on the cheesecake , and the second time in the salad. It's a definte must avoid for me now.
",0,"i went there twice in a week with clients because of its location and the fact that i really like their salads, on both days i had to send my food back because there was a hair in it. first time on the cheesecake , and the second time in the salad. it is a definte must avoid for me now.",go twice week client location fact really like salad day send food back hair first time cheesecake second time salad definte must avoid,{},{},{},{}
"If you like authentic Chinese food like me, you will love this place. I am actually surprised to see all these negative reasons here.I guess the trick here is that they have both authentic food and Americanized food. I never tried the Americanized dishes but the Chinese ones are decent. I always just order their specials, which are listed on the first page of their menu.My favorite dishes are: Chinese style mapo tofu, Beijing duck (you need to order it ahead), fish with the spicy sauce (The spicy flavor does not just come from the spicy dry red peppers but also sichuan peppers. It has a special tingling flavor and will make you feel like your tongue is on drug.),  and the pork stir fry with bamboo shoots.
",1,"if you like authentic chinese food like me, you will love this place. i am actually surprised to see all these negative reasons here.i guess the trick here is that they have both authentic food and americanized food. i never tried the americanized dishes but the chinese ones are decent. i always just order their specials, which are listed on the first page of their menu.my favorite dishes are: chinese style mapo tofu, beijing duck (you need to order it ahead), fish with the spicy sauce (the spicy flavor does not just come from the spicy dry red peppers but also sichuan peppers. it has a special tingling flavor and will make you feel like your tongue is on drug.), and the pork stir fry with bamboo shoots.",like authentic chinese food like love place actually surprised see negative reason guess trick authentic food americanize food never try americanized dish chinese one decent always order special list first page menu favorite dish chinese style mapo tofu beijing duck need order ahead fish spicy sauce spicy flavor come spicy dry red pepper also sichuan pepper special tingling flavor make feel like tongue drug pork stir fry bamboo shoot,{},{},{},{}
"Of the Michaels in Charlotte this one is probably the one I like the least.  The store always looks terrible, but that is partially due to it being an older store.  The other reason the store looks so terrible is because its a mess (empty and disorganized shelves)!  I'm not sure if this store is physically smaller than the other Michaels in the area, but it definitely lacks selection.  Lastly, our cashier wasn't friendly and seemed like she was being in convinced by having to ring up customers.  For these reasons I generally go to Hobby Lobby or wait until I'm on the other side of Charlotte to go to a different Michaels.
",0,"of the michaels in charlotte this one is probably the one i like the least. the store always looks terrible, but that is partially due to it being an older store. the other reason the store looks so terrible is because its a mess (empty and disorganized shelves)! i am not sure if this store is physically smaller than the other michaels in the area, but it definitely lacks selection. lastly, our cashier was not friendly and seemed like she was being in convinced by having to ring up customers. for these reasons i generally go to hobby lobby or wait until i am on the other side of charlotte to go to a different michaels.",michael charlotte one probably one like least store always look terrible partially due old store reason store look terrible mess empty disorganized shelf sure store physically small michael area definitely lack selection lastly cashier friendly seem like convince ring customer reason generally go hobby lobby wait side charlotte go different michael,"{'design and aesthetics': 0.668, 'value for money': 0.561, 'customer experience': 0.561, 'content quality': 0.471}","{'design and aesthetics': 0.668, 'value for money': 0.561, 'customer experience': 0.561, 'content quality': 0.471}","{'design and aesthetics': 'NEGATIVE', 'value for money': 'NEGATIVE', 'customer experience': 'NEGATIVE', 'content quality': 'NEGATIVE'}","{'design and aesthetics': 'NEGATIVE', 'value for money': 'NEGATIVE', 'customer experience': 'NEGATIVE', 'content quality': 'NEGATIVE'}"
"Dianne really is Frickin' Awesome!We met her today at the Yelp event at Kiwanis park. She did face painting on myself, my boyfriend, and two of my female friends. Everyone was fantastic. She can and will paint literally anything you ask for butterflies, gnomes, dinosaurs, motorcycles, whatever.She is also a total sweetie and was pleasant to deal with. I will be hiring her for my 30th Birthday party.
",1,"dianne really is frickin' awesome!we met her today at the yelp event at kiwanis park. she did face painting on myself, my boyfriend, and two of my female friends. everyone was fantastic. she can and will paint literally anything you ask for butterflies, gnomes, dinosaurs, motorcycles, whatever.she is also a total sweetie and was pleasant to deal with. i will be hiring her for my 30th birthday party.",dianne really frickin awesome meet today yelp event kiwanis park face painting boyfriend two female friend everyone fantastic paint literally anything ask butterfly gnome dinosaurs motorcycle whatever also total sweetie pleasant deal hire 30th birthday party,"{'design and aesthetics': 0.956, 'content quality': 0.583}","{'design and aesthetics': 0.956, 'content quality': 0.583}","{'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE'}","{'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE'}"
"Great little shop off of the interstate. I was looking for a place to go that wasn't fast food and wasn't the same old-same old. I was surprised how much I liked this place. Made to order deli-sandwiches, cheese, fudge, a New Glarus beverage and Southern Comfort Yes, Southern Comfort. True one stop shopping. I will make this a regular stop between Elgin and Minnesota!
",1,"great little shop off of the interstate. i was looking for a place to go that was not fast food and was not the same old-same old. i was surprised how much i liked this place. made to order deli-sandwiches, cheese, fudge, a new glarus beverage and southern comfort yes, southern comfort. true one stop shopping. i will make this a regular stop between elgin and minnesota!",great little shop interstate look place go fast food old old surprised much like place make order deli sandwich cheese fudge new glarus beverage southern comfort yes southern comfort true one stop shopping make regular stop elgin minnesota,"{'value for money': 0.692, 'product quality': 0.463}","{'value for money': 0.692, 'product quality': 0.463}","{'value for money': 'POSITIVE', 'product quality': 'POSITIVE'}","{'value for money': 'POSITIVE', 'product quality': 'POSITIVE'}"
"Great tasting food, great service and has been around for years. Presence was a mystery to Me for awhile so maybe an Improvement could be better, more recognizable signage out front or up above. Other than that, it's a hidden gem here in downtown
",1,"great tasting food, great service and has been around for years. presence was a mystery to me for awhile so maybe an improvement could be better, more recognizable signage out front or up above. other than that, it is a hidden gem here in downtown",great taste food great service around year presence mystery awhile maybe improvement could well recognizable signage front hidden gem downtown,"{'design and aesthetics': 0.979, 'product quality': 0.645}","{'design and aesthetics': 0.979, 'product quality': 0.645}","{'design and aesthetics': 'POSITIVE', 'product quality': 'POSITIVE'}","{'design and aesthetics': 'POSITIVE', 'product quality': 'POSITIVE'}"
"This place is terrible , never go here ever. It was 5 people in there I ordered some wings and the bar wench forgot about me. It took an hour to get my mediocre wings.
",0,"this place is terrible , never go here ever. it was 5 people in there i ordered some wings and the bar wench forgot about me. it took an hour to get my mediocre wings.",place terrible never go ever 5 people order wing bar wench forget take hour get mediocre wing,{'product quality': 0.556},{'product quality': 0.556},{'product quality': 'NEGATIVE'},{'product quality': 'NEGATIVE'}
"We took an amazing sunset hot air balloon ride during the Christmas Holiday season. The weather and view couldn't have been better. We saw10 balloons go up with us.Taylor our pilot was great and the ride was very smooth. The champagne toast at the end was a wonderful touch.
",1,we took an amazing sunset hot air balloon ride during the christmas holiday season. the weather and view could not have been better. we saw10 balloons go up with us.taylor our pilot was great and the ride was very smooth. the champagne toast at the end was a wonderful touch.,take amazing sunset hot air balloon ride christmas holiday season weather view could well saw10 balloon go us taylor pilot great ride smooth champagne toast end wonderful touch,"{'design and aesthetics': 0.969, 'content quality': 0.559}","{'design and aesthetics': 0.969, 'content quality': 0.559}","{'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE'}","{'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE'}"
"Authentic, excellent. Always at the top of their game, awesome people.
",1,"authentic, excellent. always at the top of their game, awesome people.",authentic excellent always top game awesome people,{},{},{},{}
